"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat","State"
2024-01-01,711.399267146351,429.38730584437,429.38730584437,429.38730584437,429.38730584437,429.38730584437,429.38730584437,0,0,0,630.216113990204,1621.05706063953,711.399267146351,711.399267146351,1140.78657299072,"Texas"
2025-01-01,785.082767086298,335.152312305761,335.152312305761,335.152312305761,335.152312305761,335.152312305761,335.152312305761,0,0,0,636.912689243475,1601.15061300622,785.082765906313,785.082768282751,1120.23507939206,"Texas"
2026-01-01,858.564945988157,365.915380479797,365.915380479797,365.915380479797,365.915380479797,365.915380479797,365.915380479797,0,0,0,688.692524876382,1770.07671308657,858.564941550127,858.564950364084,1224.48032646795,"Texas"
2027-01-01,932.047124890017,397.339890324053,397.339890324053,397.339890324053,397.339890324053,397.339890324053,397.339890324053,0,0,0,829.970808661811,1805.03019150473,932.047115792754,932.047133330976,1329.38701521407,"Texas"
2028-01-01,1005.52930379188,429.387305844263,429.387305844263,429.387305844263,429.387305844263,429.387305844263,429.387305844263,0,0,0,950.361958924977,1948.03545401211,1005.52929016713,1005.52931821764,1434.91660963614,"Texas"
2029-01-01,1079.21280373182,335.15231230583,335.15231230583,335.15231230583,335.15231230583,335.15231230583,335.15231230583,0,0,0,905.40477944199,1932.78589778336,1079.21278472049,1079.21282401111,1414.36511603765,"Texas"
2015-01-01,-25.9987285287303,905.440510793761,905.440510793761,905.440510793761,905.440510793761,905.440510793761,905.440510793761,0,0,0,582.342132304357,1147.79245650239,-25.9987285287303,-25.9987285287303,879.441782265031,"Utah"
2016-01-01,-73.6552453673284,807.490554691875,807.490554691875,807.490554691875,807.490554691875,807.490554691875,807.490554691875,0,0,0,442.678313600958,1007.02821279498,-73.6552453673284,-73.6552453673284,733.835309324547,"Utah"
2017-01-01,-121.442328009251,1096.36078025771,1096.36078025771,1096.36078025771,1096.36078025771,1096.36078025771,1096.36078025771,0,0,0,681.151039663982,1254.36905212815,-121.442328009251,-121.442328009251,974.918452248457,"Utah"
2018-01-01,-169.098844844841,1001.76957288971,1001.76957288971,1001.76957288971,1001.76957288971,1001.76957288971,1001.76957288971,0,0,0,553.652080995682,1130.96275670071,-169.098844844841,-169.098844844841,832.670728044868,"Utah"
2019-01-01,-216.755361677724,905.440510793684,905.440510793684,905.440510793684,905.440510793684,905.440510793684,905.440510793684,0,0,0,382.842401671537,985.135314816441,-216.755361677724,-216.755361677724,688.68514911596,"Utah"
2020-01-01,-264.411878525631,807.490554692031,807.490554692031,807.490554692031,807.490554692031,807.490554692031,807.490554692031,0,0,0,252.826914052762,817.259024577735,-264.411878525631,-264.411878525631,543.0786761664,"Utah"
2021-01-01,-312.198961149921,1096.36078025754,1096.36078025754,1096.36078025754,1096.36078025754,1096.36078025754,1096.36078025754,0,0,0,521.392964480331,1098.44615708907,-312.198961149921,-312.198961149921,784.161819107617,"Utah"
2022-01-01,-359.855477968589,1001.76957288959,1001.76957288959,1001.76957288959,1001.76957288959,1001.76957288959,1001.76957288959,0,0,0,347.261745861223,910.64399188531,-359.855477968589,-359.855477968589,641.914094920999,"Utah"
2023-01-01,-407.511994772096,905.440510793887,905.440510793887,905.440510793887,905.440510793887,905.440510793887,905.440510793887,0,0,0,201.424235511309,787.992812740871,-407.511994772096,-407.511994772096,497.928516021791,"Utah"
2024-01-01,-455.168511575604,807.49055469179,807.49055469179,807.49055469179,807.49055469179,807.49055469179,807.49055469179,0,0,0,46.0353871476226,630.88443888671,-455.168511575604,-455.168511575604,352.322043116186,"Utah"
2025-01-01,-502.955594178573,1096.36078025772,1096.36078025772,1096.36078025772,1096.36078025772,1096.36078025772,1096.36078025772,0,0,0,312.061226472023,874.262001205501,-502.955594688204,-502.955593522746,593.405186079151,"Utah"
2026-01-01,-550.61211098208,1001.7695728895,1001.7695728895,1001.7695728895,1001.7695728895,1001.7695728895,1001.7695728895,0,0,0,168.193052362335,751.717115131539,-550.612113014539,-550.612108525391,451.157461907422,"Utah"
2027-01-01,-598.268627785587,905.440510793566,905.440510793566,905.440510793566,905.440510793566,905.440510793566,905.440510793566,0,0,0,0.440134799057347,597.414429349689,-598.268631927481,-598.268623105115,307.171883007979,"Utah"
2028-01-01,-645.925144589095,807.490554692101,807.490554692101,807.490554692101,807.490554692101,807.490554692101,807.490554692101,0,0,0,-124.739575837371,449.867139356853,-645.925151553408,-645.925136831321,161.565410103006,"Utah"
2029-01-01,-693.712227192064,1096.36078025751,1096.36078025751,1096.36078025751,1096.36078025751,1096.36078025751,1096.36078025751,0,0,0,123.45535971261,696.859959660386,-693.712236839573,-693.712216376619,402.648553065443,"Utah"
2015-01-01,-1.89237482617549,181.538449319334,181.538449319334,181.538449319334,181.538449319334,181.538449319334,181.538449319334,0,0,0,1.15515276448255,355.737183691314,-1.89237482617549,-1.89237482617549,179.646074493158,"Vermont"
2016-01-01,9.64816580102471,208.974721663222,208.974721663222,208.974721663222,208.974721663222,208.974721663222,208.974721663222,0,0,0,47.2078901741712,396.993992582823,9.64816580102471,9.64816580102471,218.622887464246,"Vermont"
2017-01-01,21.2203243465671,125.925962521304,125.925962521304,125.925962521304,125.925962521304,125.925962521304,125.925962521304,0,0,0,-29.0841185950163,321.941350880932,21.2203243465671,21.2203243465671,147.146286867871,"Vermont"
2018-01-01,32.7608649787985,153.844306565032,153.844306565032,153.844306565032,153.844306565032,153.844306565032,153.844306565032,0,0,0,9.01469180223003,361.152772411963,32.7608649787985,32.7608649787985,186.60517154383,"Vermont"
2019-01-01,44.3014056009292,181.538449319355,181.538449319355,181.538449319355,181.538449319355,181.538449319355,181.538449319355,0,0,0,55.8221494557536,401.990839067669,44.3014056009292,44.3014056009292,225.839854920284,"Vermont"
2020-01-01,55.8419462304179,208.974721663179,208.974721663179,208.974721663179,208.974721663179,208.974721663179,208.974721663179,0,0,0,90.5335010292096,444.752974865087,55.8419462304179,55.8419462304179,264.816667893597,"Vermont"
2021-01-01,67.4141047757747,125.925962521356,125.925962521356,125.925962521356,125.925962521356,125.925962521356,125.925962521356,0,0,0,22.3600587720054,380.560651801012,67.4141047757747,67.4141047757747,193.340067297131,"Vermont"
2022-01-01,78.9546454076959,153.844306565067,153.844306565067,153.844306565067,153.844306565067,153.844306565067,153.844306565067,0,0,0,56.1865846135714,410.494559061112,78.9546454076959,78.9546454076959,232.798951972763,"Vermont"
2023-01-01,90.4951860524813,181.538449319298,181.538449319298,181.538449319298,181.538449319298,181.538449319298,181.538449319298,0,0,0,94.4554958336095,441.467149746465,90.4951860524813,90.4951860524813,272.033635371779,"Vermont"
2024-01-01,102.035726697267,208.974721663244,208.974721663244,208.974721663244,208.974721663244,208.974721663244,208.974721663244,0,0,0,139.541909692825,480.042671765752,102.035726697267,102.035726697267,311.01044836051,"Vermont"
2025-01-01,113.607885261627,125.925962521297,125.925962521297,125.925962521297,125.925962521297,125.925962521297,125.925962521297,0,0,0,74.9371584766233,419.066082426846,113.607884952039,113.607885570619,239.533847782924,"Vermont"
2026-01-01,125.148425906412,153.844306565092,153.844306565092,153.844306565092,153.844306565092,153.844306565092,153.844306565092,0,0,0,104.240315619947,463.684563672519,125.148424730943,125.148427021834,278.992732471504,"Vermont"
2027-01-01,136.688966551198,181.538449319388,181.538449319388,181.538449319388,181.538449319388,181.538449319388,181.538449319388,0,0,0,142.721482388362,497.728679461112,136.688964208364,136.688968869703,318.227415870586,"Vermont"
2028-01-01,148.229507195983,208.974721663159,208.974721663159,208.974721663159,208.974721663159,208.974721663159,208.974721663159,0,0,0,186.653325566615,545.851499845846,148.229503466738,148.229510909071,357.204228859142,"Vermont"
2029-01-01,159.801665760343,125.925962521365,125.925962521365,125.925962521365,125.925962521365,125.925962521365,125.925962521365,0,0,0,112.043383098986,467.335248805255,159.801660458383,159.801671293749,285.727628281708,"Vermont"
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Virgin Islands"
